小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.2,东风,4,0,61,
22,17.4,东风,3,0,60,
23,16.8,东风,4,0,59,
00,15.8,东风,3,0,59,
01,15.2,东风,3,0,71,
02,14.9,东风,4,0,77,
03,14.6,东风,3,0,71,
04,13.9,东风,2,0,81,
05,13.1,东南风,2,0,82,
06,14.3,东南风,2,0,77,
07,17.0,东风,2,0,68,
08,19.9,东风,2,0,59,
09,22.4,东风,3,0,52,
10,24.5,东风,3,0,48,
11,26.2,东北风,3,0,46,
12,27.8,东北风,3,0,46,
13,28.7,东风,3,0,42,
14,30.3,东北风,3,0,37,
15,29.7,东风,4,0,39,
16,28.0,东风,4,0,44,
17,27.6,东南风,2,0,46,
18,26.0,东南风,3,0,50,
19,24.3,东风,3,0,56,
20,23.0,东风,3,0,61,
21,21.7,东风,3,0,67,
