小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.4,东南风,2,0,65,30
22,17.0,东南风,2,0,66,29
23,16.4,东南风,2,0,71,30
00,16.0,东南风,2,0,73,29
01,15.0,东南风,2,0,81,29
02,14.9,东南风,2,0,82,29
03,14.8,南风,2,0,84,29
04,14.5,南风,2,0,90,28
05,14.6,南风,2,0,89,26
06,15.2,南风,2,0,85,25
07,17.0,南风,2,0,77,25
08,19.1,南风,2,0,65,28
09,21.6,南风,2,0,51,32
10,22.6,南风,3,0,43,35
11,24.5,南风,3,0,41,37
12,25.3,南风,3,0,40,38
13,26.2,南风,3,0,41,39
14,26.4,南风,3,0,43,40
15,25.9,南风,3,0,47,40
16,25.1,南风,3,0,50,40
17,24.0,南风,3,0,54,38
18,22.9,南风,3,0,60,36
19,22.1,东南风,2,0,63,34
20,21.6,南风,2,0,66,32
21,21.3,南风,2,0,69,31
