小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.8,东风,1,0,57,
22,20.9,东风,1,0,63,
23,20.2,东风,2,0,62,
00,19.2,东南风,1,0,68,
01,18.9,东风,2,0,67,
02,18.2,东南风,1,0,72,
03,17.7,东南风,1,0,73,
04,17.5,东风,1,0,69,
05,17.0,东南风,1,0,74,
06,16.8,南风,1,0,79,
07,18.1,西北风,1,0,78,
08,19.6,西北风,1,0,72,
09,21.6,西北风,2,0,66,
10,22.9,西北风,2,0,60,
11,24.8,西北风,2,0,55,
12,26.4,西北风,2,0,52,
13,26.1,西北风,2,0,55,
14,26.5,东南风,2,0,56,
15,26.0,北风,1,0,58,
16,27.3,西北风,1,0,54,
17,26.1,西北风,1,0,56,
18,25.9,西南风,1,0,59,
19,25.1,南风,2,0,61,
20,24.5,东南风,2,0,66,
21,24.1,东风,1,0,68,
