小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.6,东南风,1,0,74,30
22,18.3,南风,1,0,75,29
23,18.1,南风,1,0,76,28
00,17.9,东南风,1,0,78,26
01,17.7,西北风,1,0,80,24
02,17.3,北风,1,0,81,26
03,16.8,东北风,2,0,82,25
04,16.4,北风,1,0,82,24
05,16.2,东北风,1,0,83,22
06,16.0,东北风,2,0,84,23
07,16.5,东北风,1,0,82,26
08,18.1,东北风,1,0,76,31
09,20.5,北风,1,0,66,31
10,21.1,北风,1,0,58,27
11,21.8,东北风,1,0,55,34
12,22.3,东北风,1,0,52,38
13,23.0,北风,1,0,53,39
14,25.0,东南风,1,0,52,41
15,25.5,南风,1,0,51,42
16,25.5,南风,1,0,54,45
17,24.9,南风,1,0,57,42
18,22.9,东风,1,0,66,34
19,21.8,北风,1,0,73,31
20,21.7,东北风,1,0,73,31
21,21.6,东北风,1,0,75,34
