小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.3,东风,2,0,55,
22,17.5,东南风,2,0,60,
23,16.8,东南风,1,0,64,
00,16.3,东南风,2,0,67,
01,15.5,东风,2,0,73,
02,14.7,东南风,1,0,75,
03,14.2,东风,1,0,78,
04,13.8,东南风,1,0,80,
05,13.1,东南风,1,0,84,
06,13.6,东风,2,0,84,
07,16.4,东北风,1,0,74,
08,17.6,南风,1,0,66,
09,21.2,北风,1,0,56,
10,23.7,东风,1,0,53,
11,25.5,东风,1,0,44,
12,28.0,东南风,1,0,41,
13,28.7,南风,3,0,33,
14,28.9,南风,3,0,36,
15,27.1,南风,3,0,40,
16,27.8,南风,3,0,39,
17,26.0,南风,2,0,42,
18,25.2,南风,2,0,42,
19,23.9,南风,2,0,44,
20,23.4,东南风,2,0,47,
21,23.0,东南风,2,0,47,
