小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,14.9,东南风,3,0,88,
22,15.2,东南风,3,0,83,
23,15.2,东南风,3,0,85,
00,15.2,东南风,3,0,86,
01,15.3,东南风,3,0,88,
02,15.0,东南风,3,0,87,
03,15.4,南风,3,0,83,
04,15.3,南风,3,0,82,
05,15.3,南风,3,0,83,
06,16.2,南风,2,0,80,
07,18.2,南风,2,0,67,
08,20.1,东南风,2,0,63,
09,20.9,东南风,3,0,65,
10,21.5,东南风,3,0,66,
11,21.4,东南风,4,0,61,
12,22.1,东南风,3,0,64,
13,21.7,东南风,4,0,67,
14,21.3,东南风,4,0,67,
15,21.1,东南风,4,0,66,
16,20.8,东南风,4,0,64,
17,19.3,东南风,4,0,74,
18,19.0,东南风,4,0,78,
19,18.2,东南风,4,0,86,
20,18.1,东南风,4,0,88,
21,18.7,东南风,4,0,85,
