小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.5,东北风,2,0,55,
22,21.8,北风,1,0,55,
23,20.3,西北风,1,0,68,
00,19.0,西南风,1,0,77,
01,18.3,西南风,1,0,80,
02,17.8,西南风,1,0,83,
03,17.8,东北风,1,0,81,
04,18.3,北风,1,0,74,
05,18.1,北风,2,0,73,
06,18.5,北风,1,0,72,
07,19.1,东北风,2,0,70,
08,20.4,东北风,3,0,67,
09,21.6,东北风,2,0,62,
10,23.6,东风,2,0,55,
11,25.1,东北风,2,0,54,
12,26.4,东北风,1,0,57,
13,28.1,东北风,2,0,56,
14,27.6,北风,1,0,53,
15,27.8,西南风,1,0,55,
16,27.9,西南风,2,0,52,
17,27.2,西南风,2,0,56,
18,26.3,西南风,2,0,62,
19,21.8,西南风,3,0.7,93,
20,21.3,西北风,1,0.1,99,
21,21.0,西风,1,0,100,
