小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.3,东风,1,0,60,
22,20.1,东北风,1,0,75,
23,20.3,东风,1,0,71,
00,19.8,东北风,2,0,75,
01,19.1,东风,2,0,75,
02,19.0,东北风,2,0,71,
03,18.2,东风,1,0,78,
04,17.4,东南风,1,0,85,
05,16.7,东南风,1,0,90,
06,17.7,东北风,2,0,81,
07,20.0,东风,1,0,69,
08,21.6,东北风,1,0,66,
09,22.0,东北风,2,0,63,
10,23.7,东北风,2,0,58,
11,24.3,东风,1,0,61,
12,25.5,东风,1,0,57,
13,26.8,北风,2,0,52,
14,28.1,北风,2,0,51,
15,27.8,东北风,2,0,51,
16,27.4,东南风,1,0,56,
17,27.2,东风,1,0,58,
18,26.2,东南风,1,0,68,
19,24.9,南风,1,0,69,
20,24.2,南风,1,0,76,
21,23.9,西北风,2,0,78,
