小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.0,西南风,1,0,53,
22,21.7,西风,1,0,58,
23,21.0,西南风,1,0,59,
00,20.4,西南风,1,0,63,
01,19.4,西风,2,0,68,
02,19.1,西风,1,0,68,
03,18.5,西风,1,0,75,
04,18.0,西风,1,0,75,
05,17.6,西风,1,0,79,
06,17.5,西风,1,0,77,
07,19.0,西风,1,0,74,
08,20.5,西风,1,0,69,
09,22.0,南风,1,0,62,
10,25.2,北风,2,0,51,
11,26.4,北风,2,0,50,
12,26.5,东北风,2,0,50,
13,26.6,东北风,3,0,50,
14,26.8,东北风,2,0,50,
15,27.2,东北风,2,0,51,
16,28.0,东北风,2,0,49,
17,27.5,东北风,2,0,50,
18,27.0,北风,2,0,51,
19,26.1,东北风,2,0,54,
20,25.7,东北风,2,0,53,
21,25.6,东北风,2,0,53,
