小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.0,南风,2,0,88,
22,24.7,东风,1,0,91,
23,24.5,东北风,1,0,91,
00,24.2,东北风,1,0,92,
01,24.1,东南风,1,0,91,
02,23.9,东风,1,0,92,
03,23.7,东南风,1,0,91,
04,23.6,东南风,1,0,91,
05,23.5,东风,1,0,90,
06,23.4,东风,1,0,91,
07,23.8,东风,1,0,89,
08,25.2,东风,2,0,82,
09,27.7,东南风,1,0,74,
10,30.2,西北风,1,0,62,
11,31.2,西南风,1,0,59,
12,32.2,西北风,1,0,55,
13,33.1,西风,2,0,53,
14,33.7,西风,1,0,51,
15,34.2,西北风,2,0,49,
16,33.6,西风,1,0,51,
17,32.1,西北风,2,0,56,
18,31.0,西北风,2,0,61,
19,28.1,东南风,2,0,76,
20,27.3,东南风,1,0,79,
21,26.8,东风,2,0,81,
