小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.1,东风,0,0.1,95,
22,23.2,东南风,0,0,96,
23,23.0,西南风,1,0,96,
00,23.0,东南风,1,0.1,97,
01,22.8,西南风,1,0,98,
02,22.7,西南风,1,0,98,
03,22.7,东北风,0,0,98,
04,22.8,西风,0,0,97,
05,22.7,西南风,1,0,97,
06,22.5,东南风,1,0,98,
07,22.6,西南风,1,0,97,
08,22.9,南风,1,0,96,
09,24.9,东南风,1,0,87,
10,27.1,南风,0,0,80,
11,28.9,东风,1,0,72,
12,30.9,东北风,2,0,65,
13,31.6,南风,1,0,62,
14,32.8,西南风,1,0,60,
15,33.4,西北风,1,0,53,
16,31.7,北风,2,0,63,
17,26.9,东北风,3,1.7,85,
18,24.6,南风,1,4,92,
19,24.9,西南风,1,0.3,93,
20,24.9,南风,1,0.3,95,
21,24.7,东风,1,0.1,94,
