小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.5,西北风,1,0,100,
22,18.5,北风,1,0,100,
23,17.6,西风,1,0,100,
00,17.1,北风,1,0,100,
01,16.3,北风,1,0,100,
02,16.5,西北风,1,0,100,
03,16.5,北风,1,0,100,
04,16.9,南风,1,0,100,
05,17.0,北风,1,0,100,
06,16.0,北风,1,0,100,
07,17.0,南风,1,0,100,
08,17.7,东南风,2,0,100,
09,19.2,东南风,2,0,100,
10,21.8,东南风,2,0,80,
11,24.0,东北风,1,0,65,
12,24.6,北风,1,0,62,
13,24.9,西风,1,0,62,
14,24.6,西风,2,0,66,
15,22.2,西风,3,0,84,
16,20.7,西风,1,2.8,100,
17,20.1,东风,1,5.4,100,
18,20.1,西南风,1,1,100,
19,19.9,东北风,1,0.2,100,
20,19.7,东南风,1,0,100,
21,19.5,北风,1,0,100,
