小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.1,南风,2,0,49,
22,24.6,南风,2,0,51,
23,23.9,南风,3,0,51,
00,23.1,南风,2,0,58,
01,22.5,南风,3,0,64,
02,22.0,南风,3,0,68,
03,21.5,南风,2,0,71,
04,21.4,南风,2,0,71,
05,21.3,东南风,2,0,71,
06,21.3,东南风,2,0,70,
07,22.1,东南风,2,0,67,
08,23.4,东南风,3,0,60,
09,24.3,南风,3,0,58,
10,25.3,南风,4,0,55,
11,26.1,南风,3,0,55,
12,27.3,南风,3,0,53,
13,27.2,南风,3,0,53,
14,25.7,南风,3,0,58,
15,23.8,南风,3,0,72,
16,23.7,东南风,3,0,74,
17,23.6,东南风,2,0,75,
18,23.7,东南风,2,0,75,
19,23.8,东南风,2,0,77,
20,23.9,南风,3,0,74,
21,23.9,东南风,2,0,76,
