小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.3,南风,1,0.0,77,58
22,20.6,东北风,1,0.0,69,78
23,19.6,南风,0,0.0,73,97
00,18.9,东风,1,0.0,77,107
01,18.6,东南风,1,0.0,81,108
02,17.8,南风,1,0.0,91,99
03,17.2,东南风,1,0.0,94,94
04,19.1,东南风,2,0.0,91,93
05,17.3,东南风,0,0.0,93,85
06,17.5,南风,0,0.0,93,89
07,18.1,东南风,0,0.0,92,89
08,20.9,西南风,1,0.0,83,92
09,22.9,西风,1,0.0,74,95
10,23.5,西南风,1,0.0,68,97
11,23.7,西南风,1,0.0,65,99
12,24.1,西南风,1,0.0,63,103
13,25.2,南风,1,0.0,61,105
14,26.1,南风,1,0.0,60,93
15,26.1,南风,1,0.0,60,89
16,25.7,西南风,1,0.0,62,84
17,25.5,西南风,1,0.0,64,80
18,24.5,西风,1,0.0,68,74
19,23.5,西南风,1,0.0,71,70
20,22.3,南风,1,0.0,77,75
21,22.3,南风,1,0.0,77,73
