小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.5,东风,1,0,79,
22,18.8,北风,1,0,84,
23,18.3,北风,1,0,88,
00,18.1,东北风,1,0,92,
01,17.9,东风,2,0,93,
02,17.8,东北风,1,0,95,
03,17.6,东北风,1,0.1,97,
04,17.5,北风,1,0,98,
05,17.4,东北风,1,0,96,
06,17.3,东北风,1,0,96,
07,17.3,东北风,2,0,97,
08,18.0,东风,2,0,90,
09,18.3,东风,2,0,86,
10,18.5,东风,2,0,87,
11,18.2,东风,2,0,92,
12,18.3,东北风,2,0,92,
13,19.1,东北风,2,0,89,
14,20.1,东风,2,0,83,
15,19.9,东风,3,0,84,
16,19.4,东北风,2,0,88,
17,19.7,东风,2,0,89,
18,19.6,东风,2,0,87,
19,19.7,东北风,1,0,88,
20,19.5,北风,2,0,89,
21,19.5,东北风,1,0,90,
