小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.9,东南风,1,0,60,
22,19.7,东南风,1,0,71,
23,21.2,东南风,2,0,58,
00,20.8,东南风,2,0,60,
01,20.7,南风,2,0,57,
02,20.2,南风,2,0,59,
03,20.0,西南风,2,0,59,
04,19.5,南风,2,0,62,
05,18.8,东南风,2,0,66,
06,17.9,东南风,1,0,72,
07,20.5,东南风,1,0,68,
08,23.5,东南风,2,0,51,
09,24.8,南风,3,0,48,
10,26.5,东南风,2,0,47,
11,27.2,南风,3,0,44,
12,28.1,南风,3,0,46,
13,28.1,南风,3,0,46,
14,28.4,南风,4,0,47,
15,27.8,南风,3,0,51,
16,26.6,西南风,3,0,58,
17,25.3,南风,3,0,64,
18,24.8,南风,2,0,70,
19,24.5,南风,2,0,72,
20,24.5,南风,2,0,68,
21,24.2,东南风,3,0,71,
