小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.4,南风,1,0,55,
22,23.2,南风,1,0,54,
23,22.4,南风,1,0,63,
00,21.8,西南风,1,0,64,
01,21.4,南风,1,0,66,
02,21.4,南风,1,0,64,
03,20.4,南风,1,0,75,
04,20.7,东南风,1,0,64,
05,20.3,西南风,1,0,68,
06,20.4,南风,2,0,68,
07,21.7,东南风,2,0,63,
08,23.3,东南风,2,0,60,
09,24.3,南风,2,0,57,
10,25.5,南风,3,0,55,
11,24.8,西南风,3,0,59,
12,24.4,南风,3,0,62,
13,24.7,南风,2,0,63,
14,25.1,南风,2,0,66,
15,24.8,西南风,2,0,69,
16,25.8,南风,1,0,67,
17,25.5,南风,2,0,68,
18,25.1,南风,1,0,69,
19,24.9,东南风,1,0,69,
20,24.7,东南风,2,0,71,
21,23.2,南风,2,1,84,
