小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.3,南风,2,0,53,52
22,23.1,南风,2,0,60,53
23,22.4,南风,2,0,64,65
00,21.6,南风,2,0,70,75
01,20.9,南风,2,0,73,77
02,20.7,南风,2,0,75,82
03,20.6,南风,2,0,76,80
04,20.6,南风,1,0,75,72
05,20.2,南风,2,0,80,67
06,20.2,东南风,2,0,81,69
07,21.1,南风,2,0,77,72
08,22.0,南风,3,0,72,73
09,24.1,南风,3,0,64,73
10,26.3,南风,3,0,58,58
11,26.0,南风,4,0,56,53
12,24.9,南风,3,0,63,53
13,24.5,南风,3,0,70,60
14,25.5,南风,3,0,64,69
15,25.0,南风,3,0,68,62
16,25.0,南风,4,0,68,52
17,25.0,南风,3,0,70,
18,24.5,南风,4,0,72,58
19,23.8,东南风,2,0,77,60
20,23.6,南风,3,0,79,67
21,23.3,南风,3,0,81,68
