小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.7,南风,2,0,50,
22,24.0,南风,2,0,49,
23,23.3,南风,2,0,54,
00,22.3,南风,2,0,59,
01,22.3,西南风,3,0,60,
02,21.6,南风,2,0,64,
03,20.9,南风,2,0,70,
04,20.7,南风,2,0,72,
05,19.3,东北风,2,0,78,
06,19.1,东南风,2,0,81,
07,20.9,东南风,2,0,74,
08,22.6,东南风,2,0,68,
09,24.0,东南风,3,0,62,
10,24.3,南风,3,0,59,
11,26.6,南风,2,0,55,
12,27.0,南风,3,0,52,
13,25.9,南风,3,0,57,
14,26.2,南风,3,0,57,
15,25.9,南风,3,0,63,
16,24.6,南风,2,0,67,
17,24.0,南风,3,0,70,
18,22.7,东南风,2,0,82,
19,22.5,东南风,2,0,82,
20,22.8,东南风,2,0,80,
21,22.8,东风,1,0,80,
