小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.6,西南风,2,0,76,
22,23.3,西风,2,0,84,
23,22.2,西风,1,0,91,
00,21.1,西风,1,0,99,
01,20.3,西风,1,0,100,
02,19.8,西南风,1,0,100,
03,19.4,西南风,2,0,99,
04,18.9,西南风,1,0,100,
05,18.6,东南风,1,0,100,
06,18.6,西风,1,0,100,
07,19.5,南风,1,0,97,
08,21.4,西南风,1,0,88,
09,23.1,北风,2,0,81,
10,24.7,北风,2,0,75,
11,26.0,东北风,2,0,70,
12,27.0,北风,2,0,59,
13,27.7,北风,2,0,59,
14,28.4,东风,2,0,56,
15,27.6,东南风,2,0,53,
16,29.0,东风,2,0,53,
17,27.0,东风,2,0,60,
18,26.5,东风,2,0,63,
19,25.4,东风,2,0,70,
20,23.5,西南风,2,0.1,91,
21,21.8,西南风,2,1.4,100,
