小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.3,东南风,2,0,61,
22,20.0,东风,1,0,65,
23,19.2,西风,1,0,71,
00,18.2,西北风,1,0,82,
01,17.5,西北风,1,0,84,
02,16.8,西北风,1,0,91,
03,16.0,西风,2,0,92,
04,16.1,西风,1,0,87,
05,16.3,东北风,2,0,88,
06,16.3,东北风,1,0,93,
07,18.3,北风,1,0,84,
08,21.9,东南风,2,0,63,
09,25.3,东南风,3,0,46,
10,26.6,东南风,3,0,44,
11,27.8,东南风,3,0,37,
12,27.4,南风,3,0,44,
13,28.6,南风,4,0,45,
14,28.1,南风,4,0,48,
15,28.6,南风,5,0,49,
16,27.7,南风,3,0,56,
17,26.5,南风,3,0,60,
18,25.0,南风,3,0,67,
19,24.3,南风,2,0,70,
20,23.5,南风,2,0,76,
21,23.0,东南风,2,0,83,
