小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.5,西风,1,0,69,
22,18.4,西风,2,0,74,
23,18.3,西南风,1,0,76,
00,16.9,西风,2,0,84,
01,16.7,西风,1,0,83,
02,16.2,西风,1,0,85,
03,16.5,西风,2,0,80,
04,15.6,西风,2,0,87,
05,15.4,西风,1,0,88,
06,15.6,西风,2,0,87,
07,17.6,西风,2,0,79,
08,20.9,西风,2,0,67,
09,23.4,西南风,2,0,60,
10,25.7,西南风,2,0,59,
11,26.3,西北风,2,0,60,
12,26.3,北风,2,0,61,
13,27.5,北风,2,0,46,
14,27.8,西北风,2,0,50,
15,27.7,北风,3,0,49,
16,26.4,东北风,2,0,57,
17,25.7,东北风,2,0,59,
18,24.9,东北风,2,0,63,
19,23.9,东风,2,0,68,
20,22.8,东风,2,0,78,
21,22.4,东风,2,0,77,
