小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.0,东南风,2,0,50,
22,21.3,东风,2,0,60,
23,21.2,东风,2,0,63,
00,20.1,东北风,1,0,70,
01,19.0,东北风,1,0,81,
02,18.3,南风,1,0,85,
03,18.2,东南风,2,0,77,
04,17.7,西北风,1,0,81,
05,16.8,西南风,1,0,87,
06,16.8,东风,1,0,89,
07,20.2,东北风,1,0,76,
08,23.0,东风,2,0,65,
09,24.8,东北风,2,0,59,
10,25.9,东北风,2,0,53,
11,27.3,东南风,2,0,49,
12,28.8,西南风,2,0,43,
13,27.9,西南风,2,0,48,
14,26.5,南风,2,0,60,
15,25.8,东风,1,0,65,
16,26.2,东南风,1,0,62,
17,25.8,东南风,2,0,64,
18,25.1,东南风,2,0,66,
19,24.1,东风,2,0,74,
20,23.1,东北风,1,0.1,84,
21,22.4,东风,2,0,82,
