小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,21.8,南风,2,0,61,
23,21.0,南风,2,0,67,
00,20.6,南风,2,0,71,
01,19.9,东南风,2,0,75,
02,19.5,南风,2,0,77,
03,19.5,南风,2,0,77,
04,18.9,南风,2,0,81,
05,18.6,南风,2,0,85,
06,18.5,南风,2,0,88,
07,19.1,南风,2,0,85,
08,19.8,南风,2,0,80,
09,20.1,南风,2,0,81,
10,20.8,南风,2,0,81,
11,21.2,南风,2,0,81,
12,22.0,东南风,2,0,79,
13,23.0,东南风,2,0,77,
14,23.6,东南风,2,0,74,
15,24.1,东南风,3,0,73,
16,24.7,东南风,2,0,76,
17,24.6,东南风,3,0,73,
18,24.2,东南风,2,0,76,
19,23.7,东南风,2,0,78,
20,23.1,东南风,2,0,81,
21,22.4,东南风,2,0,85,
22,22.6,东南风,2,0,85,
