小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,24.3,东南风,3,0,55,
22,23.0,西南风,2,0,62,
23,22.0,南风,2,0,65,
00,21.7,西南风,2,0,65,
01,21.5,南风,2,0,65,
02,21.2,南风,2,0,67,
03,20.7,南风,2,0,71,
04,20.5,南风,2,0,71,
05,20.1,西南风,1,0,76,
06,19.9,东南风,1,0,77,
07,20.2,南风,2,0,77,
08,21.2,南风,2,0,74,
09,21.8,南风,2,0,70,
10,22.5,南风,3,0,69,
11,23.0,南风,3,0,67,
12,23.8,南风,2,0,68,
13,24.5,东南风,2,0,69,
14,24.6,南风,3,0,65,
15,24.7,东南风,3,0,68,
16,25.4,东南风,3,0,71,
17,25.5,东南风,3,0,71,
18,24.9,东南风,3,0,73,
19,24.3,东南风,2,0,77,
20,24.0,东南风,3,0,79,
21,23.4,东南风,1,0,83,
