小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.4,西北风,1,0,74,46
22,21.4,西北风,1,0,82,52
23,20.5,西北风,1,0,87,51
00,19.7,西南风,1,0,90,50
01,18.9,西风,0,0,95,50
02,19.1,西北风,1,0,95,49
03,18.9,西北风,1,0,95,48
04,18.8,西南风,1,0,97,45
05,18.8,东北风,1,0,97,52
06,18.8,西北风,1,0,96,49
07,19.0,西风,1,0,98,50
08,19.7,东风,1,0.3,98,53
09,20.7,西北风,1,0,92,54
10,22.1,东北风,1,0,84,59
11,23.7,东北风,1,0,75,56
12,24.7,北风,1,0,73,52
13,25.9,东风,1,0,69,55
14,27.3,东北风,1,0,68,45
15,26.2,北风,1,0,74,39
16,24.6,西北风,1,0.2,86,35
17,24.6,北风,1,0,86,33
18,24.7,北风,1,0,86,39
19,24.0,东南风,1,0,93,45
20,23.3,西风,1,0,93,45
21,22.9,西风,2,0,96,50
