小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.0,东南风,1,0,89,
23,19.4,东南风,1,0,93,
00,19.5,西风,1,0,96,
01,19.1,西南风,1,0,98,
02,19.2,东风,1,0,96,
03,18.9,南风,1,0,98,
04,18.6,东风,1,0,98,
05,18.5,西风,1,0,100,
06,18.6,东南风,1,0,99,
07,18.8,西南风,2,0,100,
08,19.2,东南风,1,0.2,100,
09,19.5,东风,1,0,100,
10,20.2,东风,1,0,93,
11,20.8,东南风,1,0,89,
12,21.8,西风,1,0,85,
13,21.9,东风,2,0,84,
14,22.3,东北风,2,0,80,
15,22.6,南风,1,0,82,
16,23.2,西北风,1,0,80,
17,23.4,北风,1,0,81,
18,23.1,东北风,1,0,83,
19,22.7,西北风,1,0,85,
20,21.6,南风,1,0,95,
21,21.3,西南风,1,0,98,
22,21.1,西风,1,0,99,
