小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,22.2,西风,1,0,78,
23,21.6,西风,2,0,78,
00,21.2,西南风,1,0,81,
01,20.8,西南风,1,0,81,
02,20.5,西风,1,0,83,
03,20.2,东南风,1,0,85,
04,19.9,西北风,2,0,87,
05,19.9,西北风,1,0,87,
06,19.5,东南风,1,0,91,
07,19.8,西北风,1,0,89,
08,20.5,西北风,1,0,88,
09,21.1,东北风,0,0,86,
10,22.3,南风,1,0,83,
11,23.6,西南风,1,0,76,
12,24.2,北风,1,0,76,
13,26.5,南风,2,0,68,
14,26.6,南风,3,0,65,
15,27.1,南风,2,0,64,
16,26.8,南风,3,0,64,
17,26.5,南风,2,0,65,
18,26.2,西南风,2,0,66,
19,26.3,南风,3,0,64,
20,26.3,南风,4,0,65,
21,25.8,南风,3,0,67,
22,25.1,西北风,1,0,70,
