小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.9,西风,2,0,100,
22,17.8,西风,1,0,100,
23,17.7,西风,1,0,100,
00,17.8,东风,1,0,100,
01,18.0,西风,1,0,100,
02,19.1,东风,2,0,100,
03,19.3,东风,2,0,100,
04,19.5,东风,1,0,99,
05,19.4,东南风,1,0,100,
06,18.4,西风,1,0,100,
07,18.3,西风,2,0,100,
08,22.4,东风,3,0,84,
09,23.4,东南风,4,0,79,
10,25.1,东风,4,0,73,
11,26.8,东风,4,0,66,
12,26.8,东风,4,0,67,
13,27.1,东风,4,0,65,
14,26.7,东风,4,0,67,
15,27.0,东南风,4,0,69,
16,26.7,东南风,4,0,70,
17,26.3,东风,4,0,73,
18,25.8,东风,4,0,77,
19,25.3,东风,4,0,81,
20,25.0,东风,4,0,83,
21,25.1,东风,4,0,82,
