小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.1,西北风,0,0,79,
22,20.7,东北风,1,0,81,
23,20.4,东风,1,0,82,
00,20.5,东北风,1,0,85,
01,20.4,东北风,1,0,87,
02,20.1,北风,1,0,87,
03,19.9,东北风,1,0,88,
04,19.8,东风,1,0,89,
05,19.8,东风,0,0,90,
06,19.7,东北风,1,0,89,
07,20.1,北风,1,0,89,
08,21.1,东北风,0,0,83,
09,24.1,东风,1,0,73,
10,25.4,西北风,1,0,69,
11,25.7,南风,2,0,68,
12,26.4,西南风,2,0,64,
13,27.6,西风,2,0,62,
14,28.1,西风,1,0,63,
15,27.9,西南风,1,0,64,
16,27.7,西南风,1,0,68,
17,27.0,西南风,2,0,70,
18,26.3,西南风,1,0,75,
19,25.8,南风,1,0,77,
20,25.2,西南风,1,0,79,
21,24.9,西南风,1,0,81,
