小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.1,东北风,1,0,100,
22,20.8,东北风,1,0,100,
23,20.6,西南风,1,0,100,
00,20.4,西南风,1,0,100,
01,20.3,南风,1,0,100,
02,20.3,南风,1,0,100,
03,20.3,西南风,1,0,100,
04,20.2,东北风,0,0,100,
05,20.0,东风,1,0,100,
06,20.0,东北风,1,0,100,
07,20.2,东南风,1,0,100,
08,20.6,东南风,1,0,100,
09,22.0,东南风,1,0,98,
10,23.7,南风,1,0,90,
11,25.2,西南风,2,0,73,
12,26.0,西南风,3,0,70,
13,26.4,南风,2,0,70,
14,26.9,西南风,3,0,68,
15,26.4,西南风,3,0,71,
16,25.7,西南风,3,0,73,
17,25.5,西南风,2,0,75,
18,25.2,南风,2,0,76,
19,25.1,西南风,2,0,77,
20,24.8,西南风,2,0,79,
21,24.9,南风,2,0,78,
