小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.0,西风,1,0,82,
23,19.4,西风,1,0,91,
00,18.9,西风,2,0,86,
01,18.4,西风,2,0,92,
02,18.3,西风,2,0,89,
03,18.2,西南风,2,0,90,
04,17.9,西北风,1,0,96,
05,18.0,东北风,0,0,100,
06,18.4,东北风,1,0,98,
07,18.9,东风,1,0,98,
08,19.6,西风,1,0,91,
09,20.9,西风,1,0,77,
10,23.1,西风,1,0,71,
11,24.0,西风,1,0,69,
12,24.9,西风,2,0,70,
13,24.6,西风,1,0,72,
14,24.7,西北风,0,0,74,
15,25.0,东风,1,0,72,
16,25.5,西南风,2,0,72,
17,24.7,南风,2,0,78,
18,24.4,西南风,2,0,80,
19,24.2,南风,1,0,82,
20,23.7,东风,1,0,87,
21,23.4,东风,1,0,93,
22,23.1,东风,2,0,100,
