小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.8,东南风,2,0,72,
22,20.6,南风,2,0,70,51
23,19.9,东南风,2,0,74,53
00,19.3,东南风,2,0,79,53
01,18.7,南风,2,0,84,54
02,18.3,南风,2,0,89,72
03,18.1,南风,2,0,93,80
04,18.0,南风,2,0,91,79
05,17.7,南风,2,0,92,77
06,18.0,南风,2,0,93,78
07,18.7,南风,2,0,91,79
08,20.2,南风,2,0,86,79
09,21.2,南风,2,0,81,74
10,22.9,南风,2,0,75,72
11,24.0,南风,2,0,68,72
12,24.5,南风,2,0,71,69
13,24.4,南风,2,0,73,69
14,24.3,南风,3,0,74,69
15,24.4,东南风,2,0,78,68
16,25.1,东南风,2,0,76,65
17,24.6,南风,2,0,81,64
18,23.8,南风,2,0,87,64
19,23.6,南风,2,0,90,67
20,23.5,东南风,2,0,92,64
21,23.5,东南风,1,0,91,
