小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.1,南风,1,0,89,
23,20.0,南风,1,0,89,
00,19.8,南风,1,0,90,
01,19.6,南风,1,0,91,
02,19.4,西北风,1,0,92,
03,19.1,南风,1,0,94,
04,19.2,南风,1,0,93,
05,19.3,南风,1,0,94,
06,19.3,东风,1,0,94,
07,20.5,东南风,1,0,91,
08,22.3,东风,1,0,83,
09,24.1,东北风,1,0,76,
10,25.5,西南风,2,0,66,
11,26.6,南风,2,0,66,
12,27.6,南风,3,0,61,
13,28.6,南风,3,0,60,
14,29.4,南风,3,0,56,
15,27.6,南风,3,0,62,
16,26.3,南风,3,0,71,
17,26.4,南风,3,0,70,
18,25.9,南风,3,0,71,
19,25.3,南风,3,0,74,
20,24.9,南风,3,0,76,
21,24.6,南风,3,0,76,
22,24.6,南风,3,0,76,
