小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,17.2,北风,0,0,79,
23,16.1,西南风,0,0,84,
00,15.4,北风,1,0,86,
01,15.2,西风,0,0,87,
02,15.4,西南风,1,0,86,
03,15.6,北风,1,0,86,
04,15.5,南风,1,0,88,
05,15.5,西风,0,0,89,
06,15.2,北风,0,0,92,
07,15.5,西南风,0,0,92,
08,17.6,西南风,0,0,82,
09,20.0,南风,1,0,75,
10,21.9,南风,2,0,70,
11,23.9,南风,2,0,63,
12,25.6,西南风,3,0,55,
13,26.3,西南风,3,0,54,
14,24.9,南风,2,0,59,
15,23.5,西南风,2,0,67,
16,23.6,西南风,2,0,66,
17,23.3,西南风,2,0,67,
18,22.6,西南风,2,0,70,
19,22.1,西南风,2,0,73,
20,21.6,西南风,3,0,76,
21,21.4,西南风,2,0,76,
22,21.2,西南风,3,0,78,
