小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,19.6,西风,1,0,82,
23,19.1,北风,2,0,85,
00,19.2,西南风,1,0,83,
01,18.9,南风,2,0,87,
02,19.3,南风,2,0,81,
03,19.5,西南风,3,0,76,
04,19.9,南风,3,0,72,
05,19.9,南风,2,0,71,
06,19.8,南风,3,0,73,
07,21.1,南风,4,0,71,
08,23.0,南风,4,0,67,
09,24.1,南风,4,0,66,
10,24.5,南风,5,0,65,
11,25.3,东南风,4,0,65,
12,25.6,南风,4,0,66,
13,26.5,东南风,5,0,64,
14,26.1,南风,5,0,67,
15,26.1,南风,5,0,67,
16,25.6,东南风,5,0,69,
17,25.1,东南风,5,0,71,
18,24.7,东南风,5,0,73,
19,24.0,南风,5,0,76,
20,23.9,南风,5,0,76,
21,23.6,南风,5,0,76,
22,23.5,南风,5,0,76,
