小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.3,北风,4,0.0,86,
22,25.4,北风,3,0.0,77,
23,25.5,西风,3,0.0,77,
00,25.5,西风,3,0.0,75,
01,25.3,西风,3,0.0,75,
02,25.5,西风,3,0.0,74,
03,25.4,西风,3,0.0,74,
04,25.2,西风,2,0.0,78,
05,25.3,西风,3,0.0,76,
06,25.3,西风,3,0.0,77,
07,25.3,北风,3,0.0,78,
08,25.3,西风,3,0.0,78,
09,25.4,西风,4,0.0,76,
10,25.9,西风,3,0.0,74,
11,25.8,西风,3,0.0,76,
12,25.9,西风,3,0.0,76,
13,26.2,西风,3,0.0,76,
14,26.0,西风,3,0.0,78,
15,26.0,西风,3,0.0,78,
16,26.0,北风,3,0.0,78,
17,25.9,北风,3,0.0,79,
18,25.5,北风,3,0.0,83,
19,25.2,北风,3,0.0,85,
20,25.3,北风,4,0.0,86,
21,25.3,北风,4,0.0,86,
