小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.1,西风,2,0.0,84,
22,25.1,北风,2,0.0,73,
23,25.1,西风,2,0.0,74,
00,25.0,西风,2,0.0,76,
01,24.7,西风,2,0.0,76,
02,24.9,北风,2,0.0,75,
03,24.8,西风,2,0.0,74,
04,24.7,西风,2,0.0,78,
05,24.7,西风,2,0.0,75,
06,24.8,西风,2,0.0,76,
07,24.9,西风,2,0.0,76,
08,25.1,西风,2,0.0,76,
09,25.2,西风,2,0.0,75,
10,25.7,西风,2,0.0,72,
11,26.0,西风,3,0.0,71,
12,26.7,西风,3,0.0,70,
13,27.0,西风,3,0.0,70,
14,26.6,北风,2,0.0,73,
15,26.6,北风,2,0.0,73,
16,26.3,北风,3,0.0,74,
17,26.1,北风,2,0.0,75,
18,25.5,西风,2,0.0,79,
19,25.2,北风,2,0.0,82,
20,25.1,西风,2,0.0,84,
21,25.1,西风,2,0.0,84,
