小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.1,北风,5,0,37,
22,16.0,北风,5,0,40,
23,15.6,北风,5,0,34,
00,14.5,西北风,5,0,39,
01,14.2,北风,4,0,46,
02,13.5,西北风,2,0,52,
03,12.9,西北风,2,0,50,
04,13.2,西北风,4,0,42,
05,12.3,西北风,3,0,38,
06,11.5,西北风,3,0,40,
07,10.9,西风,3,0,43,
08,11.7,西北风,4,0,46,
09,11.9,西北风,4,0,50,
10,12.2,西北风,4,0,47,
11,12.1,西北风,4,0,51,
12,11.2,西北风,4,0,56,
13,8.4,西风,3,0.1,81,
14,7.1,西南风,3,1.8,95,
15,7.1,西南风,2,1.3,98,
16,6.5,西南风,2,1,100,
17,5.7,西南风,3,1.1,98,
18,5.6,西南风,2,0.5,99,
19,5.4,西南风,2,0.7,99,
20,5.2,东南风,1,0.2,98,
21,5.1,东南风,3,0.1,100,
