小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,26.3,东风,2,0,18,
22,25.2,东风,2,0,25,
23,23.0,东风,1,0,32,
00,22.4,东风,2,0,27,
01,20.3,西南风,1,0,34,
02,22.6,北风,2,0,19,
03,21.7,东北风,3,0,19,
04,20.7,北风,2,0,22,
05,19.8,东北风,2,0,23,
06,19.1,北风,2,0,27,
07,18.1,北风,1,0,31,
08,19.1,南风,1,0,33,
09,19.8,东风,2,0,29,
10,19.7,东风,3,0,33,
11,19.0,东风,3,0,35,
12,18.3,东北风,1,0,40,
13,14.2,北风,3,0,62,
14,12.5,西北风,2,0.2,82,
15,12.6,西北风,2,0.2,83,
16,12.5,西北风,2,0.3,78,
17,12.5,西风,2,0.4,82,
18,12.3,西风,2,0.2,85,
19,12.1,西风,2,0.1,84,
20,11.8,南风,0,0,83,
21,11.7,东风,1,0,83,
