小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.3,南风,2,0.0,41,38
22,17.7,西南风,2,0.0,37,36
23,18.5,西风,2,0.0,32,41
00,15.2,北风,5,0.0,43,242
01,14.3,西北风,5,0.0,46,146
02,11.7,西风,4,0.0,70,70
03,10.5,西风,3,0.0,74,38
04,11.0,西风,1,0.0,67,40
05,11.4,西南风,3,0.0,63,40
06,12.6,西风,3,0.0,53,38
07,12.8,西风,4,0.0,50,40
08,13.0,西风,4,0.0,50,51
09,13.7,西风,4,0.0,47,61
10,16.0,西北风,4,0.0,38,54
11,17.7,西风,1,0.0,30,40
12,20.0,西北风,1,0.0,27,37
13,18.9,西南风,0,0.0,27,36
14,20.1,西南风,0,0.0,22,38
15,21.6,北风,2,0.0,19,38
16,20.6,东南风,0,0.0,19,41
17,21.0,西北风,1,0.0,18,38
18,21.1,南风,1,0.0,19,39
19,20.4,南风,1,0.0,21,41
20,19.3,南风,2,0.0,22,40
21,16.5,东南风,1,0.0,31,37
