小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,15.9,南风,2,0,69,
22,14.8,东南风,2,0,75,
23,12.3,东南风,1,0,87,
00,11.4,东南风,2,0,91,
01,10.7,东风,1,0,92,
02,10.1,东风,2,0,95,
03,9.2,东南风,1,0,95,
04,8.7,东风,2,0,97,
05,8.3,东风,1,0,97,
06,7.5,东南风,1,0,97,
07,8.4,东风,1,0,99,
08,10.3,北风,1,0,91,
09,13.4,西风,1,0,80,
10,17.2,西风,1,0,68,
11,19.9,西风,1,0,62,
12,21.0,西南风,1,0,50,
13,22.7,南风,2,0,49,
14,25.0,西风,2,0,42,
15,17.2,北风,3,4.7,66,
16,17.1,南风,1,0.4,79,
17,17.2,东南风,2,0,80,
18,17.9,北风,1,0,75,
19,19.0,西北风,3,0,46,
20,17.7,西北风,3,0,48,
21,16.9,西北风,2,0,53,
