小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.2,东南风,1,0,57,
22,17.9,西北风,1,0,62,
23,16.6,西北风,1,0,68,
00,15.4,西风,1,0,73,
01,14.0,西风,1,0,80,
02,13.1,西南风,1,0,83,
03,12.3,西风,1,0,85,
04,11.7,西南风,1,0,86,
05,11.2,西南风,1,0,87,
06,10.9,西南风,1,0,88,
07,11.6,西风,1,0,84,
08,14.4,西南风,1,0,76,
09,17.0,西风,2,0,62,
10,22.1,东南风,1,0,47,
11,25.7,东风,2,0,33,
12,27.4,东北风,3,0,25,
13,27.3,北风,3,0,22,
14,27.4,北风,4,0,21,
15,26.5,北风,3,0,27,
16,25.6,北风,4,0,26,
17,25.2,北风,3,0,28,
18,22.5,北风,4,0,34,
19,20.8,北风,3,0,40,
20,19.5,西北风,2,0,47,
21,19.0,西风,2,0,50,
