小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.4,北风,2,0,80,
22,14.6,北风,2,0,87,
23,14.0,西北风,1,0,89,
00,12.4,北风,2,0,93,
01,11.5,北风,2,0,94,
02,10.7,北风,2,0,94,
03,10.2,北风,2,0,94,
04,9.6,北风,2,0,96,
05,8.4,北风,2,0,96,
06,8.0,北风,2,0,95,
07,10.3,西北风,1,0,95,
08,12.6,西风,2,0,86,
09,16.2,西南风,1,0,72,
10,20.9,西风,2,0,55,
11,24.4,西南风,1,0,42,
12,26.0,西北风,3,0,38,
13,27.2,西北风,2,0,36,
14,28.5,北风,2,0,28,
15,29.9,北风,2,0,29,
16,26.8,西北风,3,0,27,
17,25.7,西风,1,0,30,
18,26.6,西北风,3,0,26,
19,23.8,西北风,3,0,32,
20,22.0,西北风,2,0,38,
21,19.9,北风,1,0,48,
