小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,10.4,东北风,2,0,47,
22,9.1,东风,2,0,53,
23,7.0,东风,2,0,61,
00,5.7,东风,1,0,67,
01,4.7,东北风,1,0,71,
02,3.8,东北风,1,0,75,
03,2.6,西北风,0,0,82,
04,2.1,西风,1,0,84,
05,2.2,西北风,0,0,84,
06,2.0,东南风,2,0,85,
07,2.2,西南风,1,0,85,
08,3.9,东南风,2,0,80,
09,8.2,南风,1,0,65,
10,9.2,东北风,4,0,57,
11,8.5,东北风,4,0,58,
12,7.4,东北风,4,0,66,
13,5.4,西北风,4,1.5,83,
14,4.2,西北风,3,1.6,86,
15,4.3,西北风,3,1.3,87,
16,3.4,西风,3,0.5,86,
17,4.1,西北风,2,0,81,
18,3.9,东北风,2,0,79,
19,3.6,东风,2,0.1,81,
20,3.4,东北风,3,0,80,
21,2.8,东南风,1,0.4,84,
