小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.6,南风,2,0,75,
22,16.1,南风,2,0,77,
23,15.7,南风,2,0,78,
00,15.2,东南风,2,0,79,
01,14.9,西南风,2,0,81,
02,14.7,南风,2,0,82,
03,14.7,南风,1,0,82,
04,14.5,南风,2,0,83,
05,14.2,东南风,2,0,85,
06,14.1,西南风,1,0,86,
07,14.1,西南风,1,0,85,
08,14.6,东风,2,0,83,
09,15.5,东北风,2,0,79,
10,17.1,东风,1,0,70,
11,17.9,南风,2,0,66,
12,21.1,北风,2,0,50,
13,22.5,东北风,3,0,42,
14,23.0,北风,3,0,43,
15,23.7,东北风,2,0,41,
16,21.0,北风,3,0.3,56,
17,17.3,西北风,2,1,74,
18,18.2,西北风,2,0.1,57,
19,17.4,北风,3,0,56,
20,16.5,北风,3,0,57,
21,15.9,北风,2,0,58,
