小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.0,东南风,2,0,67,65
22,22.2,东南风,2,0,71,64
23,21.7,东风,1,0,74,63
00,21.6,东北风,2,0,77,62
01,21.3,东北风,2,0,77,62
02,21.1,东北风,1,0,78,62
03,20.8,东北风,1,0,80,62
04,20.2,东南风,2,0,82,63
05,20.4,东风,1,0,80,63
06,20.4,东北风,2,0,82,62
07,20.9,东北风,2,0,76,59
08,22.8,东北风,1,0,68,54
09,23.4,东北风,2,0,63,49
10,24.1,东北风,2,0,63,51
11,25.3,北风,2,0,63,47
12,26.2,东北风,2,0,57,46
13,26.8,南风,1,0,55,54
14,27.4,西南风,1,0,56,
15,27.6,南风,1,0,52,51
16,28.0,东南风,1,0,52,52
17,28.1,南风,2,0,53,53
18,26.8,东南风,1,0,61,48
19,25.1,东风,2,0,67,
20,24.4,东南风,1,0,65,56
21,23.6,东风,2,0,70,
