小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.6,东风,1,0,75,
22,21.0,西南风,1,0,79,
23,20.6,西风,1,0,82,
00,20.5,东风,1,0,84,
01,20.3,东风,1,0,86,
02,20.2,东风,1,0,86,
03,20.3,东风,1,0,81,
04,20.2,东北风,1,0,85,
05,20.3,东南风,2,0,77,
06,20.1,东风,2,0,78,
07,20.6,东风,2,0,75,
08,21.3,东风,2,0,70,
09,22.3,东南风,2,0,63,
10,23.4,东风,2,0,60,
11,25.0,东风,3,0,54,
12,24.4,东南风,2,0,54,
13,24.3,东风,2,0,58,
14,24.8,东风,2,0,57,
15,26.3,东风,2,0,54,
16,25.9,东风,2,0,58,
17,25.2,东风,2,0,59,
18,24.4,东风,2,0,62,
19,23.5,东北风,1,0,69,
20,22.2,东风,1,0,76,
21,21.5,西风,1,0,81,
