小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.4,东南风,1,0,78,
22,21.3,北风,1,0,84,
23,20.9,北风,1,0,83,
00,20.6,东北风,1,0,84,
01,20.4,西风,1,0,85,
02,20.2,北风,1,0,89,
03,20.0,东风,1,0,87,
04,20.0,东风,1,0,87,
05,19.7,东风,1,0,90,
06,19.7,东北风,1,0,92,
07,20.0,北风,1,0,92,
08,21.2,东风,1,0,87,
09,23.2,东南风,2,0,73,
10,23.1,东南风,1,0,76,
11,22.7,东南风,2,0,77,
12,23.9,东风,1,0,74,
13,25.5,南风,1,0,72,
14,25.5,东风,1,0,64,
15,25.7,东风,1,0,66,
16,25.2,东南风,2,0,69,
17,24.7,东风,2,0,73,
18,24.9,东北风,1,0,71,
19,24.0,东南风,2,0,75,
20,22.9,东南风,1,0,83,
21,21.8,东风,1,0,87,
