小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.3,西南风,2,0,68,
22,19.1,东南风,1,0,70,
23,18.7,西风,1,0,73,
00,17.9,北风,1,0,78,
01,17.1,北风,1,0,82,
02,16.4,北风,1,0,82,
03,15.9,西北风,1,0,85,
04,15.8,北风,1,0,85,
05,15.7,北风,2,0,84,
06,16.2,北风,1,0,83,
07,16.6,西北风,1,0,81,
08,17.6,北风,1,0,76,
09,18.9,东南风,2,0,71,
10,20.4,南风,2,0,63,
11,22.2,东北风,1,0,51,
12,22.9,东南风,2,0,42,
13,24.1,东南风,1,0,49,
14,25.0,东南风,2,0,54,
15,24.9,东南风,2,0,58,
16,24.8,东南风,2,0,61,
17,24.4,东南风,2,0,64,
18,23.8,东南风,2,0,68,
19,23.2,南风,2,0,71,
20,22.8,南风,1,0,73,
21,21.8,西风,1,0,78,
