小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.1,东风,2,0,64,
22,21.8,东南风,2,0,63,
23,21.3,东风,2,0,65,
00,20.6,东风,2,0,69,
01,20.1,东风,2,0,68,
02,19.7,东风,2,0,70,
03,18.7,东北风,1,0,74,
04,18.1,北风,1,0,78,
05,17.6,北风,1,0,83,
06,17.6,西北风,1,0,85,
07,18.3,西北风,1,0,84,
08,20.8,西北风,1,0,70,
09,22.6,西风,1,0,59,
10,24.3,东南风,2,0,50,
11,25.7,东北风,2,0,38,
12,27.0,北风,1,0,42,
13,25.8,西南风,2,0,39,
14,26.5,南风,1,0,35,
15,27.9,东南风,2,0,31,
16,27.4,西北风,1,0,36,
17,27.0,南风,2,0,40,
18,26.1,西南风,2,0,42,
19,25.0,西北风,1,0,49,
20,22.5,西北风,2,0,62,
21,22.0,东北风,1,0,63,
