小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.7,东南风,3,0,78,
22,21.5,东南风,3,0,77,
23,21.0,东南风,3,0,77,
00,20.8,东南风,2,0,75,
01,20.1,西北风,1,0,83,
02,19.6,西风,1,0,85,
03,19.1,西北风,2,0,90,
04,18.8,西风,1,0,92,
05,18.4,西南风,1,0,94,
06,18.1,北风,2,0,96,
07,19.6,南风,1,0,90,
08,21.8,西北风,1,0,68,
09,23.5,西北风,1,0,59,
10,24.6,东风,3,0,56,
11,25.0,东南风,3,0,58,
12,25.7,东风,3,0,58,
13,25.9,东南风,3,0,60,
14,25.7,东南风,3,0,63,
15,26.2,东南风,3,0,64,
16,25.4,东南风,3,0,68,
17,25.0,东南风,3,0,68,
18,24.3,东南风,3,0,71,
19,23.1,东南风,2,0,77,
20,22.5,东南风,2,0,81,
21,21.9,东南风,2,0,84,
