小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,19.8,北风,2,0,55,34
22,19.7,东北风,2,0,47,34
23,19.3,东南风,2,0,50,31
00,18.9,北风,2,0,51,29
01,18.7,北风,2,0,54,29
02,18.0,西北风,2,0,66,29
03,17.5,西风,2,0,64,28
04,16.9,西北风,2,0,68,26
05,16.9,西风,2,0,69,24
06,16.9,西风,2,0,72,22
07,18.7,西风,1,0,66,23
08,20.2,西北风,1,0,55,25
09,21.9,西北风,2,0,53,27
10,23.8,西北风,1,0,52,31
11,24.5,西北风,2,0,50,34
12,25.4,南风,2,0,54,38
13,26.4,东南风,2,0,52,42
14,27.4,东南风,2,0,52,43
15,27.2,东南风,2,0,51,40
16,26.7,东南风,2,0,55,39
17,26.8,东南风,2,0,57,36
18,25.5,东南风,2,0,61,36
19,24.3,东南风,2,0,65,34
20,23.6,东南风,2,0,71,32
21,23.1,东南风,1,0,73,30
