小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.4,东风,1,0,75,
22,17.3,东北风,1,0,83,
23,16.2,西风,2,0,85,
00,15.7,西北风,2,0,89,
01,15.2,西北风,2,0,89,
02,14.9,西北风,2,0,89,
03,14.9,西北风,2,0,86,
04,14.4,西北风,2,0,89,
05,14.5,西风,2,0,86,
06,14.5,西北风,1,0,91,
07,15.6,西北风,1,0,83,
08,16.5,北风,1,0,81,
09,18.5,西风,2,0,65,
10,21.3,西北风,2,0,53,
11,22.9,北风,1,0,56,
12,24.6,东北风,2,0,54,
13,25.6,南风,2,0,57,
14,25.3,东南风,3,0,63,
15,24.6,东南风,3,0,63,
16,24.5,东南风,3,0,63,
17,24.7,东风,3,0,63,
18,23.9,东南风,2,0,70,
19,23.1,东南风,2,0,74,
20,22.8,东南风,2,0,76,
21,21.9,西风,1,0,82,
