小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,3,东北风,1,0.2,84,
22,2,东南风,0,0.3,73,
23,0,北风,2,0.0,85,
00,-1,西北风,1,0.0,91,
01,-1,东风,1,0.0,92,
02,-1,南风,1,0.0,91,
03,-1,南风,1,0.0,91,
04,-1,西风,1,0.0,84,
05,-1,西风,2,0.0,91,
06,-1,西风,2,0.0,91,
07,-1,西风,1,0.0,90,
08,-1,西南风,1,0.0,90,
09,-1,西风,1,0.0,87,
10,0,西南风,2,0.2,85,
11,1,西风,2,0.0,77,
12,2,北风,2,0.0,73,
13,2,北风,2,0.0,73,
14,2,西南风,1,0.0,71,
15,-1,东南风,2,0.0,86,
16,-1,东南风,1,0.0,85,
17,-1,东风,1,0.0,83,
18,1,北风,1,0.0,72,
19,2,南风,1,0.0,68,
20,2,西南风,1,0.0,65,
21,1,西风,1,0.0,69,
