小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,3,东风,1,0.0,63,45
22,4,北风,1,0.0,64,43
23,3,东北风,2,0.3,77,42
00,2,北风,2,2.0,82,42
01,1,东北风,2,0.0,85,42
02,2,东北风,1,0.0,86,43
03,2,东北风,1,0.2,86,40
04,-4,北风,1,0.3,89,39
05,-1,东北风,1,2.2,91,39
06,-1,东北风,1,0.0,91,38
07,-1,西北风,1,0.0,92,36
08,0,西北风,0,0.0,92,34
09,1,北风,1,0.0,83,33
10,2,东北风,1,0.0,80,35
11,2,北风,2,0.0,77,35
12,4,西风,1,0.0,70,36
13,4,西风,1,0.0,70,38
14,6,西风,2,0.0,59,39
15,2,南风,1,0.0,69,42
16,2,东北风,1,0.0,73,41
17,3,北风,2,0.0,66,42
18,4,北风,2,0.0,63,42
19,3,东北风,1,0.0,65,41
20,3,西风,1,0.0,72,40
21,2,西南风,1,0.0,77,38
