小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,5.7,东北风,2,0,14,45
23,4.3,东北风,3,0,17,40
00,2.5,东北风,3,0,22,34
01,2.8,东风,3,0,25,37
02,0.6,东北风,3,0,30,34
03,-0.4,东北风,3,0,29,39
04,-1.4,东南风,2,0,30,42
05,-4.5,东风,1,0,49,42
06,-3.7,南风,1,0,43,42
07,-5.4,东北风,1,0,45,42
08,-4.2,东南风,1,0,40,41
09,-1.0,东南风,1,0,30,39
10,2.2,北风,1,0,23,37
11,3.4,西北风,1,0,20,40
12,5.6,西南风,1,0,16,44
13,7.5,西北风,2,0,15,45
14,9.2,西风,2,0,14,47
15,9.6,南风,2,0,11,50
16,11.5,西北风,4,0,13,53
17,10.6,西北风,3,0,10,52
18,10.5,西风,3,0,11,53
19,11.2,西风,3,0,10,60
20,9.5,北风,4,0,14,52
21,7.9,北风,4,0,20,50
22,7.0,北风,3,0,21,
