小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.1,西北风,1,0,93,
22,15.6,西南风,0,0,95,
23,15.3,西北风,1,0,98,
00,15.3,北风,1,0,99,
01,15.3,西北风,1,0,100,
02,15.1,北风,1,0,99,
03,14.8,北风,1,0,100,
04,14.7,西北风,1,0,100,
05,14.3,西北风,1,0,100,
06,13.8,西风,1,0,100,
07,13.7,西北风,1,0,100,
08,14.0,北风,1,0,100,
09,16.6,东北风,1,0,98,
10,22.6,东南风,3,0,52,
11,24.3,南风,4,0,41,
12,25.8,南风,3,0,38,
13,26.5,西南风,3,0,33,
14,27.3,南风,2,0,36,
15,27.3,南风,1,0,33,
16,27.5,南风,2,0,36,
17,26.8,东南风,2,0,38,
18,24.5,北风,4,0,53,
19,22.6,北风,4,0,67,
20,20.6,北风,3,0,73,
21,19.3,北风,3,0,79,
