小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.8,东风,2,0.1,90,
22,18.6,东风,2,0,92,
23,18.3,东风,3,0,93,
00,18.0,东风,3,0,93,
01,17.9,东风,3,0,94,
02,18.0,东风,4,0,92,
03,17.6,东风,2,0,93,
04,17.1,东风,2,0,94,
05,16.9,东风,2,0,96,
06,16.7,东北风,2,0,96,
07,17.3,东风,3,0,95,
08,20.1,东风,2,0,89,
09,20.9,东风,2,0,80,
10,23.4,南风,2,0,68,
11,25.0,南风,3,0,57,
12,26.0,南风,3,0,52,
13,27.2,南风,3,0,48,
14,27.5,南风,3,0,46,
15,28.3,南风,3,0,45,
16,27.6,东南风,3,0,46,
17,26.9,南风,2,0,46,
18,23.2,西北风,2,0.1,68,
19,21.4,西风,2,0,83,
20,20.7,西风,3,0,85,
21,19.7,西风,3,6.2,93,
