小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.4,南风,2,0,86,
22,18.4,南风,2,0,86,
23,18.4,南风,2,0,85,
00,18.1,南风,2,0,86,
01,17.9,西南风,2,0,87,
02,17.7,西南风,2,0,86,
03,17.9,南风,2,0,83,
04,17.5,西南风,2,0,84,
05,17.4,西南风,2,0,85,
06,17.4,南风,2,0,84,
07,17.7,南风,3,0,84,
08,18.8,南风,2,0,81,
09,20.2,西南风,3,0,73,
10,21.5,南风,4,0,65,
11,22.7,南风,4,0,59,
12,23.3,西南风,3,0,57,
13,24.4,西南风,4,0,53,
14,24.6,南风,3,0,54,
15,24.7,南风,4,0,53,
16,24.8,南风,3,0,53,
17,25.0,南风,3,0,54,
18,25.1,南风,3,0,55,
19,23.7,南风,2,0,62,
20,23.2,东南风,2,0,64,
21,22.6,东南风,3,0,68,
