小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.4,南风,2,0,84,
22,18.4,南风,2,0,85,
23,18.4,南风,2,0,85,
00,18.3,南风,3,0,85,
01,18.2,南风,3,0,86,
02,18.1,南风,3,0,87,
03,17.9,南风,3,0,88,
04,18.1,南风,3,0,86,
05,18.1,西南风,2,0,86,
06,17.9,南风,2,0,88,
07,18.2,南风,3,0,85,
08,18.2,南风,3,0,83,
09,19.3,南风,4,0,79,
10,19.7,南风,3,0,78,
11,20.5,南风,4,0,73,
12,21.4,南风,4,0,69,
13,22.8,南风,4,0,62,
14,23.0,南风,4,0,60,
15,24.3,南风,4,0,57,
16,25.0,南风,4,0,56,
17,24.4,南风,3,0,57,
18,24.0,南风,3,0,59,
19,23.0,南风,3,0,69,
20,22.1,东南风,2,0,72,
21,22.0,南风,2,0,75,
