小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.7,北风,1,0,86,
22,18.6,北风,2,0,89,
23,18.4,北风,1,0,89,
00,18.5,西北风,1,0,90,
01,18.2,西北风,1,0,91,
02,18.2,西北风,1,0,92,
03,17.9,西北风,1,0,95,
04,17.6,西北风,1,0,97,
05,17.5,西北风,1,0,97,
06,17.4,北风,1,0,98,
07,17.6,北风,1,0,97,
08,18.2,西北风,1,0,95,
09,19.9,东风,1,0,86,
10,22.1,西北风,1,0,79,
11,21.4,西北风,2,0,82,
12,22.0,西北风,1,0,79,
13,24.4,东北风,2,0,68,
14,25.0,北风,2,0,68,
15,26.1,东风,2,0,62,
16,26.7,东南风,2,0,60,
17,27.2,东风,1,0,61,
18,25.3,南风,1,0,65,
19,20.8,北风,2,0.1,85,
20,19.9,北风,1,0,89,
21,19.5,西北风,2,0,94,
