小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,21.1,东北风,1,0,88,
22,20.3,西北风,1,0,92,
23,19.8,东风,1,0,93,
00,19.6,西南风,0,0,92,
01,19.6,东北风,1,0,93,
02,19.7,东南风,0,0,95,
03,19.6,东北风,1,0,93,
04,19.6,西南风,0,0,94,
05,19.5,西南风,0,0,95,
06,19.4,东风,1,0,94,
07,19.6,北风,1,0,94,
08,20.4,北风,1,0,90,
09,21.3,东风,1,0,86,
10,22.6,东南风,1,0,82,
11,24.1,东南风,2,0,73,
12,25.3,南风,2,0,71,
13,25.2,东南风,2,0,70,
14,25.5,南风,2,0,70,
15,26.8,东南风,2,0,66,
16,26.6,东南风,2,0,66,
17,27.0,东南风,2,0,64,
18,26.5,东南风,2,0,67,
19,25.8,南风,1,0,70,
20,25.2,南风,2,0,73,
21,24.8,东风,1,0,75,
