小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.3,西风,1,0,87,
22,19.8,东风,1,0,90,
23,19.7,东风,1,0,92,
00,19.5,东风,1,0,92,
01,19.5,西北风,1,0,92,
02,19.7,西北风,1,0,91,
03,19.8,东南风,1,0,90,
04,20.0,东南风,1,0,89,
05,19.7,北风,1,0,91,
06,19.5,东风,1,0,92,
07,19.7,西南风,1,0,91,
08,20.8,东南风,1,0,86,
09,22.5,东南风,1,0,78,
10,23.4,西南风,2,0,71,
11,23.1,南风,2,0,74,
12,24.3,西南风,2,0,70,
13,24.9,南风,3,0,67,
14,25.4,南风,2,0,63,
15,25.6,东南风,3,0,65,
16,25.8,南风,3,0,63,
17,25.6,南风,2,0,63,
18,25.3,南风,2,0,64,
19,24.6,南风,2,0,67,
20,24.2,南风,2,0,68,
21,23.7,西风,1,0,71,
